x,y,objectid,mill_name,latitude,longitude,rspo_model,cert,id,prnt_comp,country,state,sub_state,alt_name,address,globalid,Group_Name
-2.253539,-48.58567,3082,AGROPALMA/CPA,-2.253539,-48.58567,"RSPO Certified, IP",RSPO Certified,PO1000000017,AGROPALMA,Brazil,Pará,Acará,unspecified,2-High Confidence,{3F5BCB8B-44A4-472C-B59D-29DFCE5E334E},AGROPALMA
1.73086,103.53832,3083,SEDENAK,1.73086,103.53832,"RSPO Certified, MB",RSPO Certified,PO1000000019,EPA MANAGEMENT SDN BHD,Malaysia,Johor,Kulaijaya,unspecified,1-Fully Verified,{9D8F43A1-9149-43C3-8517-FBB4E928CB6D},KULIM (MALAYSIA) BERHAD
-5.6225,150.23735,3084,MOSA,-5.6225,150.23735,"RSPO Certified, IP",RSPO Certified,PO1000000020,NEW BRITAIN PALM OIL,Papua New Guinea,West New Britain,Talasea,unspecified,1-Fully Verified,{C1FC0B50-0C00-4C18-8882-4E64527679DF},NBPOL
0.43444,101.825,3085,BUATAN I,0.43444,101.825,"RSPO Certified, MB",RSPO Certified,PO1000000021,INTI INDOSAWIT SUBUR,Indonesia,Riau,Siak,unspecified,2-High Confidence,{D40B067E-013F-44DF-86D1-21B48FD714D2},ROYAL GOLDEN EAGLE
6.00243,117.39839,3086,PAMOL SABAH,6.00243,117.39839,"RSPO Certified, IP",RSPO Certified,PO1000000052,PAMOL ESTATES (SABAH) SDN BHD,Malaysia,Sabah,Beluran,unspecified,1-Fully Verified,{693D922B-FAE8-4616-84E2-9771C39D5867},IOI CORPORATION
-5.31111,151.01097,3087,HARGY MILL,-5.31111,151.01097,"RSPO Certified, IP",RSPO Certified,PO1000000053,HARGY OIL PALM LIMITED,Papua New Guinea,West New Britain,Talasea,unspecified,1-Fully Verified,{72BE2E4C-F78A-4A08-A8CF-72589EF221C0},SIPEF
0.07704,102.03084,3088,BATANG KULIM,0.07704,102.03084,"RSPO Certified, IP",RSPO Certified,PO1000000054,MUSIM MAS,Indonesia,Riau,Pelalawan,unspecified,1-Fully Verified,{73E4913E-8C20-49E8-8ECE-4B7E3E540151},MUSIM MAS
-2.6081,104.12525,3089,SUNGAI LILIN,-2.6081,104.12525,"RSPO Certified, IP",RSPO Certified,PO1000000058,HINDOLI,Indonesia,Sumatera Selatan,Musi Banyuasin,unspecified,2-High Confidence,{1B2B9C2A-7600-4859-86CC-0B9ABA885A9A},CARGILL
4.70446,118.06019,3090,BINUANG (SOU 28),4.70446,118.06019,"RSPO Certified, IP",RSPO Certified,PO1000000063,SIME DARBY PLANTATION BHD,Malaysia,Sabah,Kunak,unspecified,1-Fully Verified,{D4F2DFC5-5C5E-4AC4-ADBB-6D1960EA38AF},SIME DARBY
4.36935,117.83291,3091,MEROTAI (SOU 30),4.36935,117.83291,"RSPO Certified, MB",RSPO Certified,PO1000000064,SIME DARBY PLANTATION BHD,Malaysia,Sabah,Tawau,unspecified,1-Fully Verified,{E848F7A7-2F2B-466E-A86A-060E252DAB29},SIME DARBY
5.64136,118.16687,3092,SANDAKAN BAY (SOU 26),5.64136,118.16687,"RSPO Certified, MB",RSPO Certified,PO1000000065,SIME DARBY PLANTATION BHD,Malaysia,Sabah,Sandakan,unspecified,1-Fully Verified,{3522034C-4E1C-4344-ACE9-E990C8FE87EF},SIME DARBY
5.17916,118.40525,3093,SABAHMAS,5.17916,118.40525,"RSPO Certified, MB",RSPO Certified,PO1000000066,SABAHMAS PLANTATION SDN BHD,Malaysia,Sabah,Lahad Datu,unspecified,1-Fully Verified,{0ABBCF01-DDC0-4AF5-8357-26C0FA56EE90},WILMAR
3.52492,113.74441,3094,SAREMAS 1,3.52492,113.74441,"RSPO Certified, MB",RSPO Certified,PO1000000091,SAREMAS SDN BHD,Malaysia,Sarawak,Miri,unspecified,1-Fully Verified,{D2DE20CE-4720-4438-97A1-6549C4FD47EA},WILMAR
0.19896,99.62659,3095,AGROWIRATAMA,0.19896,99.62659,"RSPO Certified, IP",RSPO Certified,PO1000000092,AGRO WIRATAMA,Indonesia,Sumatera Barat,Pasaman Barat,unspecified,1-Fully Verified,{82D1B64C-EFDB-4293-AF50-69AC2E3EC472},MUSIM MAS
3.45045,113.76556,3096,SAREMAS 2,3.45045,113.76556,"RSPO Certified, IP",RSPO Certified,PO1000000093,SAREMAS SDN BHD,Malaysia,Sarawak,Miri,unspecified,1-Fully Verified,{95BE82CB-DF65-4A8B-8835-45E4ECE87930},WILMAR
2.61183,102.67866,3097,GOMALI,2.61183,102.67866,"RSPO Certified, IP",RSPO Certified,PO1000000094,IOI CORPORATION BERHAD,Malaysia,Johor,Segamat,unspecified,1-Fully Verified,{26EEB0C6-3282-4D3C-B6DF-C0D98B87BDCE},IOI CORPORATION
3.01229,99.23557,3098,BUKIT MARADJA,3.01229,99.23557,"RSPO Certified, IP",RSPO Certified,PO1000000095,EASTERN SUMATERA INDONESIA,Indonesia,Sumatera Utara,Simalungun,unspecified,1-Fully Verified,{3DF84257-7BD9-4672-8B53-9202544A40A6},SIPEF
2.88333,101.43614,3099,EAST (SOU 8),2.88333,101.43614,"RSPO Certified, IP",RSPO Certified,PO1000000097,SIME DARBY PLANTATION BHD,Malaysia,Selangor,Kuala Langat,unspecified,1-Fully Verified,{5317548B-6567-4D95-8A8D-26DF265F9F78},SIME DARBY
2.65528,101.79278,3100,TANAH MERAH (SOU 14),2.65528,101.79278,"RSPO Certified, IP",RSPO Certified,PO1000000098,SIME DARBY PLANTATION BHD,Malaysia,Negeri Sembilan,Port Dickson,unspecified,1-Fully Verified,{DADE3896-8290-46DF-86AE-CF0C154063F7},SIME DARBY
2.06138,100.08122,3101,PERLABIAN,2.06138,100.08122,"RSPO Certified, IP",RSPO Certified,PO1000000099,TOLAN TIGA INDONESIA,Indonesia,Sumatera Utara,Labuhanbatu Selatan,unspecified,1-Fully Verified,{1D1EDEAD-9A47-4B0D-AEA6-1808998A16C5},SIPEF
5.726,117.75457,3102,SEGALIUD (SOU 25),5.726,117.75457,unspecified,Not RSPO Certified,PO1000000101,SIME DARBY PLANTATION BHD,Malaysia,Sabah,Sandakan,unspecified,1-Fully Verified,{C4F1F308-3AC4-47B8-A5F4-FE33A7B0A796},SIME DARBY
-6.07319,145.98458,3103,GUSAP,-6.07319,145.98458,"RSPO Certified, IP",RSPO Certified,PO1000000102,RAMU AGRI INDUSTRIES,Papua New Guinea,Morobe,Markham,unspecified,1-Fully Verified,{5E3E7FC8-CD6E-4B60-84F2-FB43CE5B9C9B},NBPOL
2.905,101.36131,3104,WEST (SOU 9),2.905,101.36131,"RSPO Certified, IP",RSPO Certified,PO1000000103,SIME DARBY PLANTATION BHD,Malaysia,Selangor,Kuala Langat,unspecified,2-High Confidence,{EC95729D-28B1-4B98-9987-E17E27A8CBA1},SIME DARBY
5.39432,100.71117,3105,SUNGAI DINGIN (SOU 1),5.39432,100.71117,"RSPO Certified, MB",RSPO Certified,PO1000000104,SIME DARBY PLANTATION BHD,Malaysia,Kedah,Kulim,unspecified,1-Fully Verified,{7CF55684-7A3F-4014-9709-EE733E05B1EE},SIME DARBY
-5.09411,151.22449,3106,NAVO MILL,-5.09411,151.22449,"RSPO Certified, IP",RSPO Certified,PO1000000105,HARGY OIL PALM LIMITED,Papua New Guinea,West New Britain,Talasea,unspecified,1-Fully Verified,{D0192AAB-329C-437D-9BA0-445D928C49F5},SIPEF
-2.38111,112.53972,3107,SUKAJADI SAWIT MEKAR 1,-2.38111,112.53972,"RSPO Certified, IP",RSPO Certified,PO1000000106,SUKAJADI SAWIT MEKAR,Indonesia,Kalimantan Tengah,Kotawaringin Timur,unspecified,1-Fully Verified,{C978E1F8-26D8-4DA1-9D85-D852EE638836},MUSIM MAS
0.26894,110.4828,3108,BUKIT AJONG,0.26894,110.4828,"RSPO Certified, MB",RSPO Certified,PO1000000107,SIME INDO AGRO,Indonesia,Kalimantan Barat,Sanggau,unspecified,1-Fully Verified,{9DD995F6-8152-4E3F-998F-E81ED0E41CF4},SIME DARBY
2.11045,103.39231,3109,PAMOL KLUANG,2.11045,103.39231,"RSPO Certified, IP",RSPO Certified,PO1000000109,IOI CORPORATION BERHAD,Malaysia,Johor,Keluang,unspecified,1-Fully Verified,{639BDA7E-B6BE-459B-96F8-766CED243ACF},IOI CORPORATION
5.83928,117.8437,3110,SAKILAN,5.83928,117.8437,"RSPO Certified, IP",RSPO Certified,PO1000000110,IOI CORPORATION BERHAD,Malaysia,Sabah,Sandakan,unspecified,1-Fully Verified,{8465BD38-5BF0-4C04-B03D-B0F17F7CFB3A},IOI CORPORATION
2.05881,103.14839,3111,YONG PENG (SOU 19A),2.05881,103.14839,unspecified,Not RSPO Certified,PO1000000114,SIME DARBY PLANTATION BHD,Malaysia,Johor,Batu Pahat,unspecified,2-High Confidence,{4B853350-8E5D-4432-9F15-16D5AC310425},SIME DARBY
